E_A_max,E_B_max,k_A,k_B,D_1,D_2,bvp1_S3_yield,bvp2_S3_yield
1.466421934,8.533578066,52.82726262,1.295096659,6.10E-07,1.44E-06,0.657353339,0.67787806
3.251071136,6.748928864,3.754238225,1.655077806,1.50E-07,4.60E-06,0.290456467,0.371159
3.348750062,6.651249938,1.870528751,5.147695564,5.57E-06,1.53E-07,0.45327557,0.255559741
6.295332118,3.704667882,10.42569338,27.79394464,3.10E-07,9.07E-08,0.937653807,0.603965734
5.456257219,4.543742781,316.2421609,34.55544337,2.53E-08,6.70E-07,999,0.999853408
7.271185673,2.728814327,253.8203901,4.438575242,1.25E-07,5.53E-07,0.710679073,0.700499948
6.314508323,3.685491677,0.149245157,4.316506883,1.59E-08,1.69E-07,0.03554162,0.012009993
4.251094892,5.748905108,0.532100465,0.742188305,4.04E-08,6.39E-07,-0.090346613,-0.114807115
7.512163077,2.487836923,0.885073799,22.55407362,1.13E-08,6.40E-06,0.258832433,0.468333914
2.335783359,7.664216641,0.994375243,1.854230179,2.29E-07,2.53E-07,0.102956087,0.055678109
1.181696585,8.818303415,19.27216951,0.139392477,8.01E-07,3.89E-08,-0.570747571,-0.688729647
1.720382886,8.279617114,4.624339416,4.716286471,1.07E-07,1.35E-07,0.420231053,0.273569601
6.778874805,3.221125195,0.157404259,7.880081339,1.82E-07,1.52E-07,0.083870572,0.033602527
4.695017842,5.304982158,3.122170053,0.798677542,7.54E-06,2.47E-08,-0.124813823,-0.48493124
2.290174232,7.709825768,12.44548412,19.49089278,1.80E-06,3.08E-08,0.864383652,-0.073306968
5.008358201,4.991641799,0.25508658,18.32684057,4.19E-07,1.13E-06,0.186420685,0.178221021
2.218496822,7.781503178,215.6920883,64.27006283,7.14E-08,1.04E-07,0.99749872,0.755252293
6.570563001,3.429436999,0.161379166,39.06554872,4.91E-06,7.32E-06,0.170287579,0.168270937
4.569250205,5.430749795,500.4578157,40.71291759,5.07E-08,5.38E-08,0.974785583,0.338651046
4.048169809,5.951830191,0.249145224,1.840164327,9.46E-08,1.98E-08,0.006827367,-0.095761574
3.412096713,6.587903287,236.7553526,141.1656031,5.34E-06,1.82E-06,1.0002,1.0002
6.042260745,3.957739255,407.9552963,15.72452497,3.88E-07,4.40E-06,1.000136444,1.00012964
3.894500884,6.105499116,828.4813231,5.317074932,1.69E-06,6.83E-08,999,999
1.701199355,8.298800645,161.4743411,31.91904755,5.92E-07,4.04E-08,999,999
1.944047217,8.055952783,131.1928489,2.770954138,9.13E-07,3.61E-08,999,999
8.695181316,1.304818684,37.14780045,11.24493575,7.91E-08,3.68E-07,0.694287392,0.709842569
8.268645526,1.731354474,130.6127033,88.47544465,5.30E-08,2.54E-07,0.997965498,0.971119579
6.59765707,3.40234293,0.345309744,351.2461292,9.28E-08,6.00E-08,0.289815534,0.01684587
3.126959692,6.873040308,13.94030076,483.3133476,2.93E-08,1.37E-08,0.736535543,-0.452103117
8.753411019,1.246588981,11.39964903,10.34026576,4.20E-06,2.78E-07,0.701209299,0.618696905
