EA_max,EB_max,EA_ratio,EB_ratio,S2_yield,S3_yield,S2_final,S3_final,converged,solver_status,immobilization,decay_kA,decay_kB,enzyme_profile
8.5,1.5,0.85,0.15,0.028307154,0.85480358,28.30715384,854.8035797,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
8.7,1.3,0.87,0.13,0.03228646,0.853694233,32.28645994,853.6942326,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
8.9,1.1,0.89,0.11,0.03796651,0.850781514,37.96651001,850.7815142,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
9.1,0.9,0.91,0.09,0.046713594,0.844704262,46.71359401,844.7042617,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
9.3,0.7,0.93,0.07,0.061869174,0.832125801,61.86917433,832.1258012,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
9.5,0.5,0.95,0.05,0.093938583,0.802545278,93.93858298,802.545278,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
9.7,0.3,0.97,0.03,0.190630479,0.708258225,190.6304787,708.2582252,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
9.9,0.1,0.99,0.01,0.69747726,0.203736173,697.4772604,203.7361732,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
0.1,9.9,0.01,0.99,0.008737636,0.341177717,8.737636247,341.1777172,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
0.366666667,9.633333333,0.036666667,0.963333333,0.011867474,0.628936562,11.86747376,628.936562,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
0.633333333,9.366666667,0.063333333,0.936666667,0.011494382,0.737075643,11.49438177,737.0756434,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
